id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
70035,44761,Gekitotsu Toma L'Arc: Tomarunner Vs L'Arc En Ciel,NULL,2000-08-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70055,78403,Code name Hell Squad,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70317,60115,Metamorphoses,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70707,37472,Time Bokan Series: Bokan Densetsu - Buta mo Odaterya Doronboo,NULL,2000-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70802,51277,BOFH: Servers Under Siege,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70818,96112,Buřtík,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71134,45752,Top Fighter 2000 MK VIII,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71228,51441,Hellboy: Dogs of the Night,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71241,62668,Palette,"One night, the psychiatrist Sianos B. Sian is requested to counsel a girl called B.D., who has lost her eyesight and memory in an accident. Through conversations with her over the phone, the past that hides in her memories comes to light...",2000-03-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71245,125961,Alarm für Cobra 11: Das Spiel zur RTL-Erfolgsserie,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
71292,50056,Gran Duel: Shinki Dungeon no Hihou,NULL,2000-01-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71394,118488,Army Men,NULL,2000-02-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71503,134407,beatmania DA!!,NULL,2000-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71533,43837,Love Hina 2: Kotoba wa Konayuki no You ni,NULL,2000-12-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71555,72922,beatmania IIDX 4th style,NULL,2000-09-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71648,37515,Digital Partner,NULL,2000-06-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71783,47618,Pachi-Slot Aruze Oukoku Pocket: Del Sol 2,NULL,2000-10-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71793,126293,Sportsman's Paradise 2,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
71981,46631,SimCity 2000: Special Edition,NULL,2000-08-19 00:00:00.000,3,NULL,NULL,NULL,NULL,NULL
72004,58169,Netto de Tennis,NULL,2000-10-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72115,152413,Dilberito,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72250,72937,Robot Warlords,NULL,2000-08-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72455,125284,Die drei ??? 2 - Bomben in Rocky Beach,NULL,2000-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
72480,93354,Submarine Titans,"Submarine Titans is a Real-Time Strategy game developed by Ellipse Studios and published by Strategy First for the PC on August 9, 2000. It is the 22nd century, and a comet has struck Earth and poisoned the surface world, driving humanity beneath the waves.",2000-08-09 00:00:00.000,1,1,NULL,NULL,NULL,NULL
72527,66251,Cardcaptor Sakura: Tomoyo's Video War,NULL,2000-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72565,47610,Pachi-Slot Aruze Oukoku Pocket: Porcano 2,NULL,2000-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72580,64663,Polda 3,NULL,2000-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
72786,7740,Might and Magic VIII: Day of the Destroyer,NULL,2000-02-29 00:00:00.000,8,NULL,NULL,NULL,80.6641,18
73038,130023,Replics 2: Forget the Moon,NULL,2000-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
73054,3337,Excitebike 64,NULL,2000-04-30 00:00:00.000,2,NULL,NULL,NULL,73.5652,12
73079,27612,Technomage,NULL,2000-11-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73220,3927,Gauntlet Dark Legacy,NULL,2000-12-31 00:00:00.000,1,NULL,65.5000,2,67.7479,12
73245,64705,Golem no Maigo,NULL,2000-02-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73249,45167,Barbie: Magic Genie Adventure,NULL,2000-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73272,49943,Sabrina the Animated Series: Zapped!,NULL,2000-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73308,128874,Mario Tennis,NULL,2000-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73371,2789,Rugrats: Totally Angelica,NULL,2000-05-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73740,37520,D's Garage21 Kōbo Game: Tane o maku tori,NULL,2000-01-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73920,63294,Soul Getter,NULL,2000-08-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73921,62056,Sgt. Rock: On the Frontline,NULL,2000-12-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
74138,86084,Undercover AD2025 Kei,NULL,2000-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
