id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count,id,game_id,genre_name
528,26011,Eradicated,NULL,2017-07-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,506,26011,Adventure
541,73882,Masters of Sound,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,516,73882,Adventure
546,14302,Bill & Ted's Excellent Adventure,"Join Bill & Ted on their exciting adventures through time and space.  Hey Dudes! You're going on a most excellent adventure through history. You know the whacked-out, time-warped trip we had in the movie. Now, in the Bill & Ted's Most Excellent computer game, you'll meet some neat dead dudes, too- though you'll need more than two to pass that most heinous history exam!  At the Circle K, meet Rufus, an ultra-cool messenger and his time traveling phone booth. Just dial a year and take off in time. You're looking for a bodacious bunch of historical heavyweights to bring back to San Dimas High. This is an excellent arcade / action adventure, but only the coolest of dudes will be triumphant!  Can you find the answer for Socrates the philoso-fizer, take notes for Beethoven, fiddle with Nero and chill out with Joan of Arc (she's one hot chick, but it's ""Miss of Arc"" to you)? No way?! Yes, way! Genghis Khan likes Twinkies and Marie Antoinette is into cake, but how do you get Freud to leave his mother and get Mikey (Michaelangelo) off the ceiling? Don't forget that short, dead dude Napoleon, and there's Abe Lincoln and Billy the Kid. Plus, Uncle Al (relativ-ity) wanders randomly- hey, he's Einstein, whatcha gonna do!  The animation and graphics are incredible. There's stuff digitized right outta the movie and some really neat sounds. Whoa! There's even four levels of difficulty to make this totally not easy.  So be excellent to yourself and buy this computer game. Party on, dudes!",1989-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,520,14302,Adventure
549,148252,CLEARWORLD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,524,148252,Adventure
550,31001,Feel The Snow,NULL,2016-10-14 00:00:00.000,2,NULL,NULL,NULL,80.0000,2,527,31001,Adventure
558,155931,Truants,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,535,155931,Adventure
563,34853,Blood Code,NULL,2015-12-28 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,2,543,34853,Adventure
566,176270,Merchant Empire,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,549,176270,Adventure
568,181473,Deep Dreams,NULL,2020-10-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL,550,181473,Adventure
572,110442,Noble & Knightess - Episode1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,553,110442,Adventure
